event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,150,250,S(t),0.644759,medium,10/100
fractal_pattern,300,400,S(t),0.818789,medium,10/100
fractal_pattern,950,1050,S(t),0.777472,medium,10/100
fractal_pattern,1150,1250,S(t),0.643153,medium,10/100
fractal_pattern,1800,1900,S(t),0.644526,medium,10/100
fractal_pattern,1950,2050,S(t),0.913553,high,10/100
fractal_pattern,2800,2900,S(t),0.644899,medium,10/100
fractal_pattern,2950,3050,S(t),0.834699,medium,10/100
fractal_pattern,3600,3700,S(t),0.765782,medium,10/100
fractal_pattern,3800,3900,S(t),0.643347,medium,10/100
fractal_pattern,4450,4550,S(t),0.644418,medium,10/100
fractal_pattern,4600,4700,S(t),0.907701,high,10/100
fractal_pattern,100,200,C(t),0.923062,high,10/100
fractal_pattern,150,250,C(t),0.923734,high,10/100
fractal_pattern,200,300,C(t),0.924311,high,10/100
fractal_pattern,250,350,C(t),0.916936,high,10/100
fractal_pattern,300,400,C(t),0.881727,medium,10/100
