event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,300,400,C(t),0.687234,medium,10/100
fractal_pattern,200,300,A_mean(t),0.683412,medium,10/100
fractal_pattern,300,400,A_mean(t),0.699611,medium,10/100
fractal_pattern,150,250,f_mean(t),0.911254,high,10/100
fractal_pattern,250,350,f_mean(t),0.923339,high,10/100
fractal_pattern,350,450,f_mean(t),0.925719,high,10/100
fractal_pattern,100,200,mean_high_effort,0.687059,medium,10/100
fractal_pattern,150,250,mean_high_effort,0.678275,medium,10/100
fractal_pattern,200,300,mean_high_effort,0.670413,medium,10/100
fractal_pattern,250,350,mean_high_effort,0.664781,medium,10/100
fractal_pattern,350,450,mean_high_effort,0.671090,medium,10/100
fractal_pattern,300,400,mean_abs_error,0.725533,medium,10/100
