event_type,t_start,t_end,metric,value,severity,scale
anomaly,99,148,A_mean(t),23.374291,high,
anomaly,100,149,A_mean(t),22.694402,high,
anomaly,101,150,A_mean(t),20.837886,high,
anomaly,102,151,A_mean(t),17.838357,high,
anomaly,103,150,A_mean(t),14.642961,high,
anomaly,104,149,A_mean(t),11.927445,high,
anomaly,105,148,A_mean(t),10.046202,high,
anomaly,106,147,A_mean(t),8.457683,high,
anomaly,107,145,A_mean(t),7.323093,medium,
anomaly,108,144,A_mean(t),6.433829,medium,
anomaly,109,143,A_mean(t),5.746464,medium,
anomaly,110,142,A_mean(t),5.112295,medium,
anomaly,111,140,A_mean(t),4.609573,medium,
anomaly,112,138,A_mean(t),4.189169,low,
anomaly,200,245,A_mean(t),19.441885,high,
anomaly,201,245,A_mean(t),20.011569,high,
anomaly,202,245,A_mean(t),17.935077,high,
anomaly,203,245,A_mean(t),14.504482,high,
anomaly,204,245,A_mean(t),11.794048,high,
anomaly,205,245,A_mean(t),9.930668,high,
anomaly,206,242,A_mean(t),8.419725,medium,
anomaly,207,241,A_mean(t),7.254959,medium,
anomaly,208,240,A_mean(t),6.312796,medium,
anomaly,209,237,A_mean(t),5.607813,medium,
anomaly,210,236,A_mean(t),5.006159,medium,
anomaly,211,236,A_mean(t),4.498124,medium,
anomaly,212,236,A_mean(t),4.074115,low,
anomaly,213,232,A_mean(t),3.711733,low,
anomaly,122,124,entropy_S,3.965012,low,
anomaly,185,188,entropy_S,5.522338,medium,
anomaly,186,188,entropy_S,4.594807,medium,
anomaly,239,243,effort(t),4.068772,low,
anomaly,240,243,effort(t),3.678427,low,
anomaly,277,326,effort(t),82.822223,high,
anomaly,278,327,effort(t),76.497795,high,
anomaly,279,328,effort(t),60.563513,high,
anomaly,280,282,effort(t),7.061212,medium,
anomaly,261,310,mean_high_effort,293.045759,high,
anomaly,262,311,mean_high_effort,262.447463,high,
anomaly,263,312,mean_high_effort,244.843387,high,
anomaly,264,313,mean_high_effort,217.627197,high,
anomaly,265,314,mean_high_effort,208.621445,high,
anomaly,266,315,mean_high_effort,181.109980,high,
anomaly,267,316,mean_high_effort,161.906623,high,
anomaly,268,317,mean_high_effort,146.452274,high,
anomaly,269,318,mean_high_effort,133.935716,high,
anomaly,270,319,mean_high_effort,122.604880,high,
anomaly,271,320,mean_high_effort,122.629102,high,
anomaly,279,328,mean_high_effort,92.544271,high,
anomaly,280,329,mean_high_effort,87.376251,high,
anomaly,281,330,mean_high_effort,80.181614,high,
anomaly,282,331,mean_high_effort,72.554206,high,
anomaly,283,332,mean_high_effort,66.849217,high,
anomaly,284,333,mean_high_effort,59.177882,high,
anomaly,285,334,mean_high_effort,53.748044,high,
anomaly,286,335,mean_high_effort,49.088672,high,
anomaly,287,336,mean_high_effort,44.713001,high,
anomaly,288,337,mean_high_effort,41.171621,high,
anomaly,289,338,mean_high_effort,36.579154,high,
anomaly,290,339,mean_high_effort,32.612122,high,
anomaly,291,340,mean_high_effort,29.740347,high,
anomaly,292,341,mean_high_effort,27.967830,high,
anomaly,293,342,mean_high_effort,25.989241,high,
anomaly,294,343,mean_high_effort,24.524116,high,
anomaly,295,344,mean_high_effort,22.775987,high,
anomaly,296,345,mean_high_effort,21.604188,high,
anomaly,297,346,mean_high_effort,19.652844,high,
anomaly,298,347,mean_high_effort,18.225040,high,
anomaly,299,348,mean_high_effort,16.879399,high,
anomaly,300,349,mean_high_effort,16.067615,high,
anomaly,301,350,mean_high_effort,14.864448,high,
anomaly,303,352,mean_high_effort,13.458382,high,
anomaly,304,353,mean_high_effort,12.545818,high,
anomaly,305,354,mean_high_effort,11.684622,high,
anomaly,437,486,mean_high_effort,5.133907,medium,
anomaly,438,487,mean_high_effort,4.712704,medium,
anomaly,441,490,mean_high_effort,3.874675,low,
anomaly,217,219,d_effort_dt,6.712676,medium,
anomaly,238,240,d_effort_dt,6.841976,medium,
anomaly,261,264,d_effort_dt,8.099854,medium,
anomaly,286,289,d_effort_dt,17.051885,high,
anomaly,287,289,d_effort_dt,14.661466,high,
anomaly,312,315,d_effort_dt,5.857262,medium,
anomaly,313,315,d_effort_dt,5.178461,medium,
anomaly,435,438,d_effort_dt,6.263869,medium,
anomaly,436,438,d_effort_dt,5.837445,medium,
anomaly,216,220,mean_abs_error,6.498446,medium,
anomaly,217,220,mean_abs_error,5.716233,medium,
harmonic_emergence,50,143,S(t),1,low,
harmonic_emergence,60,153,S(t),1,low,
harmonic_emergence,70,163,S(t),2,medium,
harmonic_emergence,80,173,S(t),2,medium,
